esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,ribba,orb,sauvola,0,0,,homography,0.0,15,1.15,30,20,0.0,,,,3.0,42,4632,4594,1927,1270,0.659056,0.2732162066917275,0.06952068344133014,0.4273638899613212,True,True,,,123.0,1.4
E1,ribba,orb,sauvola,0,0,,homography,0.25,15,1.15,30,20,0.0,,,,3.0,42,4632,4820,1937,1208,0.623645,0.2898852458012589,0.07376217044986773,0.5161502698184002,True,True,,,127.6,1.5
E1,ribba,orb,sauvola,0,0,,homography,0.5,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1742,964,0.553387,0.29159126018373416,0.0741962709275317,0.7323875113379156,True,True,,,133.8,2.0
E1,ribba,orb,sauvola,0,0,,homography,0.75,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1361,557,0.409258,0.43460974043973316,0.11058775228411141,1.0124608899395267,True,True,,,131.5,5.1
E1,ribba,orb,sauvola,0,0,,homography,1.0,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1166,269,0.230703,0.808915756193584,0.20583104091072602,1.6555067048493879,True,True,,,143.8,49.0
E1,ribba,orb,sauvola,0,0,,homography,1.1,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1119,198,0.176944,1.4572652707419653,0.3708055199361053,3.288671075683962,True,False,,,149.3,124.2
E1,ribba,orb,sauvola,0,0,,homography,1.2,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1020,112,0.109804,1.6527171001338745,0.42053882428036476,4.114318441066359,True,False,,,151.1,124.0
E1,ribba,orb,sauvola,0,0,,homography,1.3,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1038,46,0.044316,4.3160179578861175,1.0982237174379963,9.646015471843581,True,False,,,156.0,124.2
E1,ribba,orb,sauvola,0,0,,homography,1.4,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,998,10,0.01002,212.51899689524924,54.076096316986856,543.2592483095253,True,False,,,152.1,123.1
E1,ribba,orb,sauvola,0,0,,homography,1.5,15,1.15,30,20,0.0,,,,3.0,42,4632,5000,1000,6,0.006,674.9286598291562,171.7376222795083,1287.2795515288353,True,False,,,156.0,122.8
E1,ribba,orb,sauvola,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4632,4631,4631,1.0,2.9355477849947243e-13,7.469589405352625e-14,7.731540852509763e-13,True,True,,,127.5,1.2
E1,ribba,orb,sauvola,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4598,2578,2018,0.782777,0.1671539627716127,0.042532827289125164,0.5713231282787101,True,True,,,147.8,1.7
E1,ribba,orb,sauvola,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4526,2370,1769,0.746414,0.19624604068170076,0.0499353937895808,0.37183386562140236,True,True,,,120.0,1.7
E1,ribba,orb,sauvola,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4507,2229,1622,0.727681,0.3433761750803999,0.087373097877733,0.7096453371825063,True,True,,,120.5,1.2
E1,ribba,orb,sauvola,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4519,2239,1632,0.728897,0.45171583084277256,0.114940448305436,0.7949222187934306,True,True,,,119.9,1.4
E1,ribba,orb,sauvola,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,,,,3.0,42,4632,4632,3507,3233,0.921871,0.4415608634072811,0.1123564863765729,0.5447594695199588,True,True,,,124.2,1.9
